Country,Rank,Overall_score,Electoral_process_and_pluralism,Functioning_of_government,Political_participation,Political_culture,Civil_liberties
Albania,81,5.91,7.00,4.36,5.56,5.00,7.65
Argentina,50,7.02,9.17,5.00,6.11,6.88,7.94
Armenia,116,4.00,4.33,2.86,4.44,2.50,5.88
Australia,9,9.01,9.58,8.93,7.78,8.75,10.00
Austria,14,8.54,9.58,7.86,8.33,7.50,9.41
Azerbaijan,149,2.71,0.50,2.14,3.33,3.75,3.82
Bahrain,146,2.79,1.25,3.21,2.78,4.38,2.35
Belarus,127,3.62,1.75,3.57,3.89,6.25,2.65
Belgium,26,7.93,9.58,8.21,5.56,6.88,9.41
Bolivia,85,5.75,7.00,5.36,5.00,3.75,7.65
Bosnia and Herzegovina,104,4.83,6.50,2.93,3.89,4.38,6.47
Brazil,51,6.96,9.58,6.79,5.56,3.75,9.12
Bulgaria,46,7.14,9.17,6.07,7.22,5.00,8.24
Cabo Verde,32,7.81,9.17,7.86,6.67,6.25,9.12
Canada,7,9.08,9.58,9.29,7.78,8.75,10.00
Chile,30,7.84,9.58,8.57,4.44,6.88,9.71
Colombia,62,6.62,9.17,7.14,3.89,4.38,8.53
Costa Rica,23,7.96,9.58,7.50,6.11,6.88,9.71
Croatia,52,6.93,9.17,6.07,5.56,5.63,8.24
Cuba,129,3.52,1.75,4.64,3.89,4.38,2.94
Cyprus,39,7.53,9.17,6.43,6.67,6.25,9.12
Czech Republic,25,7.94,9.58,7.14,6.67,6.88,9.41
Denmark,5,9.11,9.17,9.29,8.33,9.38,9.41
Dominican Republic,60,6.67,8.75,5.71,5.00,6.25,7.65
Ecuador,83,5.87,8.25,4.64,5.00,4.38,7.06
Egypt,134,3.18,3.00,2.86,3.33,3.75,2.94
El Salvador,61,6.64,9.17,6.07,4.44,5.00,8.53
Estonia,29,7.85,9.58,7.86,6.11,6.88,8.82
Fiji,90,5.69,4.58,5.71,6.67,5.63,5.88
Finland,8,9.03,10.00,8.93,7.78,8.75,9.71
France,27,7.92,9.58,7.14,7.78,6.25,8.82
Georgia,82,5.88,8.67,4.29,5.56,5.00,5.88
Germany,13,8.64,9.58,8.57,7.78,8.13,9.12
Greece,40,7.45,9.58,5.36,6.67,6.25,9.41
Guyana,76,6.05,7.92,5.36,5.56,4.38,7.06
Haiti,119,3.94,4.75,2.21,2.22,3.75,6.76
Honduras,84,5.84,8.75,5.71,3.89,4.38,6.47
Hong Kong SAR,67,6.50,4.33,5.71,5.56,7.50,9.41
Hungary,54,6.84,9.17,6.07,4.44,6.88,7.65
Iceland,2,9.58,10.00,9.29,8.89,10.00,9.71
Iran (Islamic Rep of),156,2.16,0.00,2.86,3.33,3.13,1.47
Iraq,115,4.08,4.33,0.07,7.22,4.38,4.41
Ireland,12,8.85,9.58,7.50,7.78,9.38,10.00
Israel,34,7.77,9.17,7.14,8.89,7.50,6.18
Italy,21,7.98,9.58,6.43,7.22,8.13,8.53
Jamaica,41,7.39,9.17,6.79,5.00,6.88,9.12
Japan,23,7.96,9.17,8.21,6.11,7.50,8.82
Jordan,120,3.86,3.58,3.93,3.89,4.38,3.53
Kazakhstan,140,3.06,0.50,2.14,4.44,4.38,3.82
Kuwait,121,3.85,3.17,4.29,3.89,4.38,3.53
Kyrgyzstan,93,5.33,7.83,3.29,5.56,5.00,5.00
Latvia,42,7.37,9.58,5.71,5.56,6.88,9.12
Lithuania,38,7.54,9.58,6.07,6.11,6.25,9.71
Luxembourg,11,8.88,10.00,9.29,6.67,8.75,9.71
Malaysia,68,6.43,6.92,7.86,5.56,6.25,5.59
Malta,15,8.39,9.17,8.21,6.11,8.75,9.71
Mauritius,18,8.28,9.17,8.21,5.56,8.75,9.71
Mexico,66,6.55,8.33,6.07,7.22,4.38,6.76
Mongolia,62,6.62,9.17,5.71,5.00,5.00,8.24
Montenegro,79,6.01,7.92,5.71,5.00,4.38,7.06
Morocco,107,4.66,4.75,4.64,3.89,5.63,4.41
Netherlands,10,8.92,9.58,8.57,8.89,8.13,9.41
New Zealand,4,9.26,10.00,9.29,8.89,8.13,10.00
Nicaragua,95,5.26,6.17,3.29,4.44,5.63,6.76
Norway,1,9.93,10.00,9.64,10.00,10.00,10.00
Oman,142,3.04,0.00,3.93,2.78,4.38,4.12
Panama,45,7.19,9.58,6.43,6.11,5.00,8.82
Paraguay,71,6.33,8.33,5.71,5.00,4.38,8.24
Peru,65,6.58,9.17,5.00,6.11,4.38,8.24
Philippines,54,6.84,8.33,5.71,6.67,4.38,9.12
Poland,48,7.09,9.58,5.71,6.67,4.38,9.12
Portugal,33,7.79,9.58,6.43,6.67,6.88,9.41
Qatar,134,3.18,0.00,3.93,2.22,5.63,4.12
Romania,59,6.68,9.17,5.71,5.00,5.00,8.53
Russian Federation,132,3.31,2.67,2.86,5.00,2.50,3.53
Saudi Arabia,160,1.93,0.00,2.86,2.22,3.13,1.47
Serbia,58,6.71,9.17,5.36,6.67,5.00,7.35
Singapore,74,6.14,4.33,7.50,5.56,6.25,7.06
Slovakia,43,7.29,9.58,7.50,5.56,5.00,8.82
Slovenia,36,7.57,9.58,7.14,6.67,5.63,8.82
South Africa,37,7.56,8.33,8.21,8.33,5.00,7.94
Republic of Korea,22,7.97,8.75,7.86,7.22,7.50,8.53
Spain,17,8.30,9.58,7.14,7.22,8.13,9.41
Sri Lanka,69,6.42,7.83,6.79,5.00,6.88,5.59
Suriname,56,6.77,9.17,6.43,5.00,5.00,8.24
Sweden,3,9.45,9.58,9.64,8.33,10.00,9.71
Switzerland,6,9.09,9.58,9.29,7.78,9.38,9.41
